Sr.No,Series Name,Years,Runtime,Genre,Rating,Certificate,Votes
235,Primal,(2019– ),22 min,"Animation,Action,Adventure",8.7,TV-MA,"17,077"
236,Haikyu!!,(2014–2020),24 min,"Animation,Comedy,Drama",8.7,TV-14,"29,080"
237,Justice League Unlimited,(2004–2006),23 min,"Animation,Action,Adventure",8.7,TV-Y7-FV,"17,834"
238,Gintama,(2005–2021),25 min,"Animation,Action,Comedy",8.7,TV-14,"12,833"
239,Code Geass,(2006–2008),24 min,"Animation,Action,Drama",8.7,TV-14,"72,664"
240,Slam Dunk,(1993–1996),22 min,"Animation,Comedy,Drama",8.7,TV-PG,"6,425"
241,Don't Hug Me I'm Scared,(2022– ),23 min,"Animation,Comedy,Horror",8.7,TV-14,"3,892"
242,Fighting Spirit: Rising,(2013–2014),20 min,"Animation,Action,Comedy",8.7,NA,"2,573"
243,The Mysterious Cities of Gold,(1982–1983),28 min,"Animation,Adventure,Comedy",8.7,TV-Y7,"4,104"
244,Archer,(2009– ),22 min,"Animation,Action,Comedy",8.6,TV-MA,"159,129"
245,Adventure Time,(2010–2018),11 min,"Animation,Action,Adventure",8.6,TV-PG,"101,186"
246,Justice League,(2001–2004),22 min,"Animation,Action,Adventure",8.6,TV-PG,"48,494"
247,Young Justice,(2010–2022),23 min,"Animation,Action,Adventure",8.6,TV-PG,"43,093"
248,Mob Psycho 100,(2016–2022),24 min,"Animation,Action,Comedy",8.6,TV-14,"37,701"
249,Dragon Ball,(1986–1989),25 min,"Animation,Action,Adventure",8.6,TV-14,"60,836"
250,Rick and Morty,(2013– ),23 min,"Animation,Adventure,Comedy",9.1,TV-14,"551,293"
251,Fullmetal Alchemist: Brotherhood,(2009–2010),24 min,"Animation,Action,Adventure",9.1,TV-14,"178,556"
252,Bleach: Thousand-Year Blood War,(2022– ),24 min,"Animation,Action,Adventure",9.1,TV-MA,"19,169"
253,The Legend of Hanuman,(2021– ),25 min,"Animation,Adventure,Fantasy",9.1,PG,"9,831"
254,Jorel's Brother,(2014– ),11 min,"Animation,Short,Comedy",9.1,TV-PG,"1,148"
255,Arcane,(2021– ),41 min,"Animation,Action,Adventure",9.0,TV-14,"228,066"
256,Hunter x Hunter,(2011–2014),24 min,"Animation,Action,Adventure",9.0,TV-14,"111,215"
257,Batman: The Animated Series,(1992–1995),23 min,"Animation,Action,Adventure",9.0,TV-PG,"108,444"
258,Legend of the Galactic Heroes,(1988–1997),25 min,"Animation,Action,Drama",9.0,TV-MA,"3,985"
259,One Piece,(1999– ),24 min,"Animation,Action,Adventure",8.9,TV-14,"143,165"
260,Death Note,(2006–2007),23 min,"Animation,Crime,Drama",8.9,TV-14,"342,767"
261,Gravity Falls,(2012–2016),23 min,"Animation,Adventure,Comedy",8.9,TV-Y7,"118,328"
262,Cowboy Bebop,(1998–1999),24 min,"Animation,Action,Adventure",8.9,TV-14,"126,670"
263,Hey Duggee,(2014– ),7 min,"Animation,Comedy,Family",8.9,TV-Y,"1,231"
264,Silver Fang,(1986),25 min,"Animation,Action,Adventure",8.9,NA,"3,003"
265,Hungarian Folk Tales,(1980–2012),NA,Animation,8.9,NA,"1,478"
266,Vinland Saga,(2019– ),24 min,"Animation,Action,Adventure",8.8,TV-MA,"49,895"
267,BoJack Horseman,(2014–2020),25 min,"Animation,Comedy,Drama",8.8,TV-MA,"169,194"
268,【Oshi No Ko】,(2023– ),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"2,808"
269,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"136,804"
270,Steins;Gate,(2011–2015),24 min,"Animation,Comedy,Drama",8.8,TV-14,"66,460"
271,Fighting Spirit,(2000–2002),20 min,"Animation,Action,Comedy",8.8,TV-PG,"7,933"
272,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"82,766"
273,Fighting Spirit: New Challenger,(2009),NA,"Animation,Action,Comedy",8.8,NA,"2,831"
274,Future Boy Conan,(1978),24 min,"Animation,Adventure,Comedy",8.8,TV-PG,"4,589"
275,Mushi-Shi: Next Passage,(2014–2015),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"3,028"
276,Demon Slayer: Kimetsu no Yaiba,(2019– ),24 min,"Animation,Action,Adventure",8.7,TV-MA,"119,199"
277,South Park,(1997– ),22 min,"Animation,Comedy",8.7,TV-14,"388,015"
278,The Simpsons,(1989– ),22 min,"Animation,Comedy",8.7,TV-14,"417,671"
279,Invincible,(2021– ),50 min,"Animation,Action,Adventure",8.7,TV-MA,"152,677"
280,Naruto: Shippuden,(2007–2017),24 min,"Animation,Action,Adventure",8.7,TV-PG,"137,014"
281,Berserk,(1997–1998),23 min,"Animation,Action,Adventure",8.7,TV-MA,"44,100"
282,One Punch Man,(2015–2019),24 min,"Animation,Action,Comedy",8.7,TV-PG,"169,989"
283,Monster,(2004–2005),24 min,"Animation,Crime,Drama",8.7,TV-14,"35,566"
284,Primal,(2019– ),22 min,"Animation,Action,Adventure",8.7,TV-MA,"17,077"
285,Haikyu!!,(2014–2020),24 min,"Animation,Comedy,Drama",8.7,TV-14,"29,080"
286,Justice League Unlimited,(2004–2006),23 min,"Animation,Action,Adventure",8.7,TV-Y7-FV,"17,834"
287,Gintama,(2005–2021),25 min,"Animation,Action,Comedy",8.7,TV-14,"12,833"
288,Code Geass,(2006–2008),24 min,"Animation,Action,Drama",8.7,TV-14,"72,664"
289,Slam Dunk,(1993–1996),22 min,"Animation,Comedy,Drama",8.7,TV-PG,"6,425"
290,Don't Hug Me I'm Scared,(2022– ),23 min,"Animation,Comedy,Horror",8.7,TV-14,"3,892"
291,Fighting Spirit: Rising,(2013–2014),20 min,"Animation,Action,Comedy",8.7,NA,"2,573"
292,The Mysterious Cities of Gold,(1982–1983),28 min,"Animation,Adventure,Comedy",8.7,TV-Y7,"4,104"
293,Archer,(2009– ),22 min,"Animation,Action,Comedy",8.6,TV-MA,"159,129"
294,Adventure Time,(2010–2018),11 min,"Animation,Action,Adventure",8.6,TV-PG,"101,186"
295,Justice League,(2001–2004),22 min,"Animation,Action,Adventure",8.6,TV-PG,"48,494"
296,Young Justice,(2010–2022),23 min,"Animation,Action,Adventure",8.6,TV-PG,"43,093"
297,Mob Psycho 100,(2016–2022),24 min,"Animation,Action,Comedy",8.6,TV-14,"37,701"
298,Dragon Ball,(1986–1989),25 min,"Animation,Action,Adventure",8.6,TV-14,"60,836"
299,Fruits Basket,(2019–2021),24 min,"Animation,Comedy,Drama",8.6,TV-14,"7,407"
300,Fullmetal Alchemist: Brotherhood,(2009–2010),24 min,"Animation,Action,Adventure",9.1,TV-14,"178,556"
301,Bleach: Thousand-Year Blood War,(2022– ),24 min,"Animation,Action,Adventure",9.1,TV-MA,"19,169"
302,The Legend of Hanuman,(2021– ),25 min,"Animation,Adventure,Fantasy",9.1,PG,"9,831"
303,Jorel's Brother,(2014– ),11 min,"Animation,Short,Comedy",9.1,TV-PG,"1,148"
304,Arcane,(2021– ),41 min,"Animation,Action,Adventure",9.0,TV-14,"228,066"
305,Hunter x Hunter,(2011–2014),24 min,"Animation,Action,Adventure",9.0,TV-14,"111,215"
306,Batman: The Animated Series,(1992–1995),23 min,"Animation,Action,Adventure",9.0,TV-PG,"108,444"
307,Legend of the Galactic Heroes,(1988–1997),25 min,"Animation,Action,Drama",9.0,TV-MA,"3,985"
308,One Piece,(1999– ),24 min,"Animation,Action,Adventure",8.9,TV-14,"143,165"
309,Death Note,(2006–2007),23 min,"Animation,Crime,Drama",8.9,TV-14,"342,767"
310,Gravity Falls,(2012–2016),23 min,"Animation,Adventure,Comedy",8.9,TV-Y7,"118,328"
311,Cowboy Bebop,(1998–1999),24 min,"Animation,Action,Adventure",8.9,TV-14,"126,670"
312,Hey Duggee,(2014– ),7 min,"Animation,Comedy,Family",8.9,TV-Y,"1,231"
313,Silver Fang,(1986),25 min,"Animation,Action,Adventure",8.9,NA,"3,003"
314,Hungarian Folk Tales,(1980–2012),NA,Animation,8.9,NA,"1,478"
315,Vinland Saga,(2019– ),24 min,"Animation,Action,Adventure",8.8,TV-MA,"49,895"
316,BoJack Horseman,(2014–2020),25 min,"Animation,Comedy,Drama",8.8,TV-MA,"169,194"
317,【Oshi No Ko】,(2023– ),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"2,808"
318,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"136,804"
319,Steins;Gate,(2011–2015),24 min,"Animation,Comedy,Drama",8.8,TV-14,"66,460"
320,Fighting Spirit,(2000–2002),20 min,"Animation,Action,Comedy",8.8,TV-PG,"7,933"
321,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"82,766"
322,Fighting Spirit: New Challenger,(2009),NA,"Animation,Action,Comedy",8.8,NA,"2,831"
323,Future Boy Conan,(1978),24 min,"Animation,Adventure,Comedy",8.8,TV-PG,"4,589"
324,Mushi-Shi: Next Passage,(2014–2015),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"3,028"
325,Demon Slayer: Kimetsu no Yaiba,(2019– ),24 min,"Animation,Action,Adventure",8.7,TV-MA,"119,199"
326,South Park,(1997– ),22 min,"Animation,Comedy",8.7,TV-14,"388,015"
327,The Simpsons,(1989– ),22 min,"Animation,Comedy",8.7,TV-14,"417,671"
328,Invincible,(2021– ),50 min,"Animation,Action,Adventure",8.7,TV-MA,"152,677"
329,Naruto: Shippuden,(2007–2017),24 min,"Animation,Action,Adventure",8.7,TV-PG,"137,014"
330,Berserk,(1997–1998),23 min,"Animation,Action,Adventure",8.7,TV-MA,"44,100"
331,One Punch Man,(2015–2019),24 min,"Animation,Action,Comedy",8.7,TV-PG,"169,989"
332,Monster,(2004–2005),24 min,"Animation,Crime,Drama",8.7,TV-14,"35,566"
333,Primal,(2019– ),22 min,"Animation,Action,Adventure",8.7,TV-MA,"17,077"
334,Haikyu!!,(2014–2020),24 min,"Animation,Comedy,Drama",8.7,TV-14,"29,080"
335,Justice League Unlimited,(2004–2006),23 min,"Animation,Action,Adventure",8.7,TV-Y7-FV,"17,834"
336,Gintama,(2005–2021),25 min,"Animation,Action,Comedy",8.7,TV-14,"12,833"
337,Code Geass,(2006–2008),24 min,"Animation,Action,Drama",8.7,TV-14,"72,664"
338,Slam Dunk,(1993–1996),22 min,"Animation,Comedy,Drama",8.7,TV-PG,"6,425"
339,Don't Hug Me I'm Scared,(2022– ),23 min,"Animation,Comedy,Horror",8.7,TV-14,"3,892"
340,Fighting Spirit: Rising,(2013–2014),20 min,"Animation,Action,Comedy",8.7,NA,"2,573"
341,The Mysterious Cities of Gold,(1982–1983),28 min,"Animation,Adventure,Comedy",8.7,TV-Y7,"4,104"
342,Archer,(2009– ),22 min,"Animation,Action,Comedy",8.6,TV-MA,"159,129"
343,Adventure Time,(2010–2018),11 min,"Animation,Action,Adventure",8.6,TV-PG,"101,186"
