Sr.No,Series Name,Years,Runtime,Genre,Rating,Certificate,Votes
440,Archer,(2009– ),22 min,"Animation,Action,Comedy",8.6,TV-MA,"159,129"
441,Adventure Time,(2010–2018),11 min,"Animation,Action,Adventure",8.6,TV-PG,"101,186"
442,Justice League,(2001–2004),22 min,"Animation,Action,Adventure",8.6,TV-PG,"48,494"
443,Young Justice,(2010–2022),23 min,"Animation,Action,Adventure",8.6,TV-PG,"43,093"
444,Mob Psycho 100,(2016–2022),24 min,"Animation,Action,Comedy",8.6,TV-14,"37,701"
445,Dragon Ball,(1986–1989),25 min,"Animation,Action,Adventure",8.6,TV-14,"60,836"
446,Fruits Basket,(2019–2021),24 min,"Animation,Comedy,Drama",8.6,TV-14,"7,407"
447,Your Lie in April,(2014–2018),23 min,"Animation,Comedy,Drama",8.6,TV-PG,"33,057"
448,The Venture Bros.,(2003–2018),22 min,"Animation,Action,Adventure",8.6,TV-14,"26,769"
449,Samurai Champloo,(2004–2005),24 min,"Animation,Action,Adventure",8.6,TV-MA,"51,507"
450,Jorel's Brother,(2014– ),11 min,"Animation,Short,Comedy",9.1,TV-PG,"1,148"
451,Arcane,(2021– ),41 min,"Animation,Action,Adventure",9.0,TV-14,"228,066"
452,Hunter x Hunter,(2011–2014),24 min,"Animation,Action,Adventure",9.0,TV-14,"111,215"
453,Batman: The Animated Series,(1992–1995),23 min,"Animation,Action,Adventure",9.0,TV-PG,"108,444"
454,Legend of the Galactic Heroes,(1988–1997),25 min,"Animation,Action,Drama",9.0,TV-MA,"3,985"
455,One Piece,(1999– ),24 min,"Animation,Action,Adventure",8.9,TV-14,"143,165"
456,Death Note,(2006–2007),23 min,"Animation,Crime,Drama",8.9,TV-14,"342,767"
457,Gravity Falls,(2012–2016),23 min,"Animation,Adventure,Comedy",8.9,TV-Y7,"118,328"
458,Cowboy Bebop,(1998–1999),24 min,"Animation,Action,Adventure",8.9,TV-14,"126,670"
459,Hey Duggee,(2014– ),7 min,"Animation,Comedy,Family",8.9,TV-Y,"1,231"
460,Silver Fang,(1986),25 min,"Animation,Action,Adventure",8.9,NA,"3,003"
461,Hungarian Folk Tales,(1980–2012),NA,Animation,8.9,NA,"1,478"
462,Vinland Saga,(2019– ),24 min,"Animation,Action,Adventure",8.8,TV-MA,"49,895"
463,BoJack Horseman,(2014–2020),25 min,"Animation,Comedy,Drama",8.8,TV-MA,"169,194"
464,【Oshi No Ko】,(2023– ),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"2,808"
465,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"136,804"
466,Steins;Gate,(2011–2015),24 min,"Animation,Comedy,Drama",8.8,TV-14,"66,460"
467,Fighting Spirit,(2000–2002),20 min,"Animation,Action,Comedy",8.8,TV-PG,"7,933"
468,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"82,766"
469,Fighting Spirit: New Challenger,(2009),NA,"Animation,Action,Comedy",8.8,NA,"2,831"
470,Future Boy Conan,(1978),24 min,"Animation,Adventure,Comedy",8.8,TV-PG,"4,589"
471,Mushi-Shi: Next Passage,(2014–2015),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"3,028"
472,Demon Slayer: Kimetsu no Yaiba,(2019– ),24 min,"Animation,Action,Adventure",8.7,TV-MA,"119,199"
473,South Park,(1997– ),22 min,"Animation,Comedy",8.7,TV-14,"388,015"
474,The Simpsons,(1989– ),22 min,"Animation,Comedy",8.7,TV-14,"417,671"
475,Invincible,(2021– ),50 min,"Animation,Action,Adventure",8.7,TV-MA,"152,677"
476,Naruto: Shippuden,(2007–2017),24 min,"Animation,Action,Adventure",8.7,TV-PG,"137,014"
477,Berserk,(1997–1998),23 min,"Animation,Action,Adventure",8.7,TV-MA,"44,100"
478,One Punch Man,(2015–2019),24 min,"Animation,Action,Comedy",8.7,TV-PG,"169,989"
479,Monster,(2004–2005),24 min,"Animation,Crime,Drama",8.7,TV-14,"35,566"
480,Primal,(2019– ),22 min,"Animation,Action,Adventure",8.7,TV-MA,"17,077"
481,Haikyu!!,(2014–2020),24 min,"Animation,Comedy,Drama",8.7,TV-14,"29,080"
482,Justice League Unlimited,(2004–2006),23 min,"Animation,Action,Adventure",8.7,TV-Y7-FV,"17,834"
483,Gintama,(2005–2021),25 min,"Animation,Action,Comedy",8.7,TV-14,"12,833"
484,Code Geass,(2006–2008),24 min,"Animation,Action,Drama",8.7,TV-14,"72,664"
485,Slam Dunk,(1993–1996),22 min,"Animation,Comedy,Drama",8.7,TV-PG,"6,425"
486,Don't Hug Me I'm Scared,(2022– ),23 min,"Animation,Comedy,Horror",8.7,TV-14,"3,892"
487,Fighting Spirit: Rising,(2013–2014),20 min,"Animation,Action,Comedy",8.7,NA,"2,573"
488,The Mysterious Cities of Gold,(1982–1983),28 min,"Animation,Adventure,Comedy",8.7,TV-Y7,"4,104"
489,Archer,(2009– ),22 min,"Animation,Action,Comedy",8.6,TV-MA,"159,129"
490,Adventure Time,(2010–2018),11 min,"Animation,Action,Adventure",8.6,TV-PG,"101,186"
491,Justice League,(2001–2004),22 min,"Animation,Action,Adventure",8.6,TV-PG,"48,494"
492,Young Justice,(2010–2022),23 min,"Animation,Action,Adventure",8.6,TV-PG,"43,093"
493,Mob Psycho 100,(2016–2022),24 min,"Animation,Action,Comedy",8.6,TV-14,"37,701"
494,Dragon Ball,(1986–1989),25 min,"Animation,Action,Adventure",8.6,TV-14,"60,836"
495,Fruits Basket,(2019–2021),24 min,"Animation,Comedy,Drama",8.6,TV-14,"7,407"
496,Your Lie in April,(2014–2018),23 min,"Animation,Comedy,Drama",8.6,TV-PG,"33,057"
497,The Venture Bros.,(2003–2018),22 min,"Animation,Action,Adventure",8.6,TV-14,"26,769"
498,Samurai Champloo,(2004–2005),24 min,"Animation,Action,Adventure",8.6,TV-MA,"51,507"
499,Dragon Ball,(1995–2003),24 min,"Animation,Action,Adventure",8.6,TV-14,"61,931"
500,Arcane,(2021– ),41 min,"Animation,Action,Adventure",9.0,TV-14,"228,066"
501,Hunter x Hunter,(2011–2014),24 min,"Animation,Action,Adventure",9.0,TV-14,"111,215"
502,Batman: The Animated Series,(1992–1995),23 min,"Animation,Action,Adventure",9.0,TV-PG,"108,444"
503,Legend of the Galactic Heroes,(1988–1997),25 min,"Animation,Action,Drama",9.0,TV-MA,"3,985"
504,One Piece,(1999– ),24 min,"Animation,Action,Adventure",8.9,TV-14,"143,165"
505,Death Note,(2006–2007),23 min,"Animation,Crime,Drama",8.9,TV-14,"342,767"
506,Gravity Falls,(2012–2016),23 min,"Animation,Adventure,Comedy",8.9,TV-Y7,"118,328"
507,Cowboy Bebop,(1998–1999),24 min,"Animation,Action,Adventure",8.9,TV-14,"126,670"
508,Hey Duggee,(2014– ),7 min,"Animation,Comedy,Family",8.9,TV-Y,"1,231"
509,Silver Fang,(1986),25 min,"Animation,Action,Adventure",8.9,NA,"3,003"
510,Hungarian Folk Tales,(1980–2012),NA,Animation,8.9,NA,"1,478"
511,Vinland Saga,(2019– ),24 min,"Animation,Action,Adventure",8.8,TV-MA,"49,895"
512,BoJack Horseman,(2014–2020),25 min,"Animation,Comedy,Drama",8.8,TV-MA,"169,194"
513,【Oshi No Ko】,(2023– ),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"2,808"
514,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"136,804"
515,Steins;Gate,(2011–2015),24 min,"Animation,Comedy,Drama",8.8,TV-14,"66,460"
516,Fighting Spirit,(2000–2002),20 min,"Animation,Action,Comedy",8.8,TV-PG,"7,933"
517,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"82,766"
518,Fighting Spirit: New Challenger,(2009),NA,"Animation,Action,Comedy",8.8,NA,"2,831"
519,Future Boy Conan,(1978),24 min,"Animation,Adventure,Comedy",8.8,TV-PG,"4,589"
520,Mushi-Shi: Next Passage,(2014–2015),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"3,028"
521,Demon Slayer: Kimetsu no Yaiba,(2019– ),24 min,"Animation,Action,Adventure",8.7,TV-MA,"119,199"
522,South Park,(1997– ),22 min,"Animation,Comedy",8.7,TV-14,"388,015"
523,The Simpsons,(1989– ),22 min,"Animation,Comedy",8.7,TV-14,"417,671"
524,Invincible,(2021– ),50 min,"Animation,Action,Adventure",8.7,TV-MA,"152,677"
525,Naruto: Shippuden,(2007–2017),24 min,"Animation,Action,Adventure",8.7,TV-PG,"137,014"
526,Berserk,(1997–1998),23 min,"Animation,Action,Adventure",8.7,TV-MA,"44,100"
527,One Punch Man,(2015–2019),24 min,"Animation,Action,Comedy",8.7,TV-PG,"169,989"
528,Monster,(2004–2005),24 min,"Animation,Crime,Drama",8.7,TV-14,"35,566"
529,Primal,(2019– ),22 min,"Animation,Action,Adventure",8.7,TV-MA,"17,077"
530,Haikyu!!,(2014–2020),24 min,"Animation,Comedy,Drama",8.7,TV-14,"29,080"
531,Justice League Unlimited,(2004–2006),23 min,"Animation,Action,Adventure",8.7,TV-Y7-FV,"17,834"
532,Gintama,(2005–2021),25 min,"Animation,Action,Comedy",8.7,TV-14,"12,833"
533,Code Geass,(2006–2008),24 min,"Animation,Action,Drama",8.7,TV-14,"72,664"
534,Slam Dunk,(1993–1996),22 min,"Animation,Comedy,Drama",8.7,TV-PG,"6,425"
535,Don't Hug Me I'm Scared,(2022– ),23 min,"Animation,Comedy,Horror",8.7,TV-14,"3,892"
536,Fighting Spirit: Rising,(2013–2014),20 min,"Animation,Action,Comedy",8.7,NA,"2,573"
537,The Mysterious Cities of Gold,(1982–1983),28 min,"Animation,Adventure,Comedy",8.7,TV-Y7,"4,104"
538,Archer,(2009– ),22 min,"Animation,Action,Comedy",8.6,TV-MA,"159,129"
539,Adventure Time,(2010–2018),11 min,"Animation,Action,Adventure",8.6,TV-PG,"101,186"
540,Justice League,(2001–2004),22 min,"Animation,Action,Adventure",8.6,TV-PG,"48,494"
541,Young Justice,(2010–2022),23 min,"Animation,Action,Adventure",8.6,TV-PG,"43,093"
542,Mob Psycho 100,(2016–2022),24 min,"Animation,Action,Comedy",8.6,TV-14,"37,701"
543,Dragon Ball,(1986–1989),25 min,"Animation,Action,Adventure",8.6,TV-14,"60,836"
544,Fruits Basket,(2019–2021),24 min,"Animation,Comedy,Drama",8.6,TV-14,"7,407"
545,Your Lie in April,(2014–2018),23 min,"Animation,Comedy,Drama",8.6,TV-PG,"33,057"
546,The Venture Bros.,(2003–2018),22 min,"Animation,Action,Adventure",8.6,TV-14,"26,769"
547,Samurai Champloo,(2004–2005),24 min,"Animation,Action,Adventure",8.6,TV-MA,"51,507"
548,Dragon Ball,(1995–2003),24 min,"Animation,Action,Adventure",8.6,TV-14,"61,931"
549,Hunter x Hunter,(1999–2001),23 min,"Animation,Action,Adventure",8.6,TV-PG,"8,787"
550,Hunter x Hunter,(2011–2014),24 min,"Animation,Action,Adventure",9.0,TV-14,"111,215"
551,Batman: The Animated Series,(1992–1995),23 min,"Animation,Action,Adventure",9.0,TV-PG,"108,444"
552,Legend of the Galactic Heroes,(1988–1997),25 min,"Animation,Action,Drama",9.0,TV-MA,"3,985"
553,One Piece,(1999– ),24 min,"Animation,Action,Adventure",8.9,TV-14,"143,165"
554,Death Note,(2006–2007),23 min,"Animation,Crime,Drama",8.9,TV-14,"342,767"
555,Gravity Falls,(2012–2016),23 min,"Animation,Adventure,Comedy",8.9,TV-Y7,"118,328"
556,Cowboy Bebop,(1998–1999),24 min,"Animation,Action,Adventure",8.9,TV-14,"126,670"
557,Hey Duggee,(2014– ),7 min,"Animation,Comedy,Family",8.9,TV-Y,"1,231"
558,Silver Fang,(1986),25 min,"Animation,Action,Adventure",8.9,NA,"3,003"
559,Hungarian Folk Tales,(1980–2012),NA,Animation,8.9,NA,"1,478"
560,Vinland Saga,(2019– ),24 min,"Animation,Action,Adventure",8.8,TV-MA,"49,895"
561,BoJack Horseman,(2014–2020),25 min,"Animation,Comedy,Drama",8.8,TV-MA,"169,194"
562,【Oshi No Ko】,(2023– ),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"2,808"
563,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"136,804"
564,Steins;Gate,(2011–2015),24 min,"Animation,Comedy,Drama",8.8,TV-14,"66,460"
565,Fighting Spirit,(2000–2002),20 min,"Animation,Action,Comedy",8.8,TV-PG,"7,933"
566,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"82,766"
567,Fighting Spirit: New Challenger,(2009),NA,"Animation,Action,Comedy",8.8,NA,"2,831"
568,Future Boy Conan,(1978),24 min,"Animation,Adventure,Comedy",8.8,TV-PG,"4,589"
569,Mushi-Shi: Next Passage,(2014–2015),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"3,028"
570,Demon Slayer: Kimetsu no Yaiba,(2019– ),24 min,"Animation,Action,Adventure",8.7,TV-MA,"119,199"
571,South Park,(1997– ),22 min,"Animation,Comedy",8.7,TV-14,"388,015"
572,The Simpsons,(1989– ),22 min,"Animation,Comedy",8.7,TV-14,"417,671"
573,Invincible,(2021– ),50 min,"Animation,Action,Adventure",8.7,TV-MA,"152,677"
574,Naruto: Shippuden,(2007–2017),24 min,"Animation,Action,Adventure",8.7,TV-PG,"137,014"
575,Berserk,(1997–1998),23 min,"Animation,Action,Adventure",8.7,TV-MA,"44,100"
576,One Punch Man,(2015–2019),24 min,"Animation,Action,Comedy",8.7,TV-PG,"169,989"
577,Monster,(2004–2005),24 min,"Animation,Crime,Drama",8.7,TV-14,"35,566"
578,Primal,(2019– ),22 min,"Animation,Action,Adventure",8.7,TV-MA,"17,077"
579,Haikyu!!,(2014–2020),24 min,"Animation,Comedy,Drama",8.7,TV-14,"29,080"
580,Justice League Unlimited,(2004–2006),23 min,"Animation,Action,Adventure",8.7,TV-Y7-FV,"17,834"
581,Gintama,(2005–2021),25 min,"Animation,Action,Comedy",8.7,TV-14,"12,833"
582,Code Geass,(2006–2008),24 min,"Animation,Action,Drama",8.7,TV-14,"72,664"
583,Slam Dunk,(1993–1996),22 min,"Animation,Comedy,Drama",8.7,TV-PG,"6,425"
584,Don't Hug Me I'm Scared,(2022– ),23 min,"Animation,Comedy,Horror",8.7,TV-14,"3,892"
585,Fighting Spirit: Rising,(2013–2014),20 min,"Animation,Action,Comedy",8.7,NA,"2,573"
586,The Mysterious Cities of Gold,(1982–1983),28 min,"Animation,Adventure,Comedy",8.7,TV-Y7,"4,104"
587,Archer,(2009– ),22 min,"Animation,Action,Comedy",8.6,TV-MA,"159,129"
588,Adventure Time,(2010–2018),11 min,"Animation,Action,Adventure",8.6,TV-PG,"101,186"
589,Justice League,(2001–2004),22 min,"Animation,Action,Adventure",8.6,TV-PG,"48,494"
590,Young Justice,(2010–2022),23 min,"Animation,Action,Adventure",8.6,TV-PG,"43,093"
591,Mob Psycho 100,(2016–2022),24 min,"Animation,Action,Comedy",8.6,TV-14,"37,701"
592,Dragon Ball,(1986–1989),25 min,"Animation,Action,Adventure",8.6,TV-14,"60,836"
593,Fruits Basket,(2019–2021),24 min,"Animation,Comedy,Drama",8.6,TV-14,"7,407"
594,Your Lie in April,(2014–2018),23 min,"Animation,Comedy,Drama",8.6,TV-PG,"33,057"
595,The Venture Bros.,(2003–2018),22 min,"Animation,Action,Adventure",8.6,TV-14,"26,769"
596,Samurai Champloo,(2004–2005),24 min,"Animation,Action,Adventure",8.6,TV-MA,"51,507"
597,Dragon Ball,(1995–2003),24 min,"Animation,Action,Adventure",8.6,TV-14,"61,931"
598,Hunter x Hunter,(1999–2001),23 min,"Animation,Action,Adventure",8.6,TV-PG,"8,787"
599,Link Click,(2021– ),20 min,"Animation,Crime,Drama",8.6,TV-14,"2,548"
600,Batman: The Animated Series,(1992–1995),23 min,"Animation,Action,Adventure",9.0,TV-PG,"108,444"
601,Legend of the Galactic Heroes,(1988–1997),25 min,"Animation,Action,Drama",9.0,TV-MA,"3,985"
602,One Piece,(1999– ),24 min,"Animation,Action,Adventure",8.9,TV-14,"143,165"
603,Death Note,(2006–2007),23 min,"Animation,Crime,Drama",8.9,TV-14,"342,767"
604,Gravity Falls,(2012–2016),23 min,"Animation,Adventure,Comedy",8.9,TV-Y7,"118,328"
605,Cowboy Bebop,(1998–1999),24 min,"Animation,Action,Adventure",8.9,TV-14,"126,670"
606,Hey Duggee,(2014– ),7 min,"Animation,Comedy,Family",8.9,TV-Y,"1,231"
607,Silver Fang,(1986),25 min,"Animation,Action,Adventure",8.9,NA,"3,003"
608,Hungarian Folk Tales,(1980–2012),NA,Animation,8.9,NA,"1,478"
609,Vinland Saga,(2019– ),24 min,"Animation,Action,Adventure",8.8,TV-MA,"49,895"
610,BoJack Horseman,(2014–2020),25 min,"Animation,Comedy,Drama",8.8,TV-MA,"169,194"
611,【Oshi No Ko】,(2023– ),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"2,808"
612,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"136,804"
613,Steins;Gate,(2011–2015),24 min,"Animation,Comedy,Drama",8.8,TV-14,"66,460"
614,Fighting Spirit,(2000–2002),20 min,"Animation,Action,Comedy",8.8,TV-PG,"7,933"
615,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"82,766"
616,Fighting Spirit: New Challenger,(2009),NA,"Animation,Action,Comedy",8.8,NA,"2,831"
617,Future Boy Conan,(1978),24 min,"Animation,Adventure,Comedy",8.8,TV-PG,"4,589"
618,Mushi-Shi: Next Passage,(2014–2015),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"3,028"
619,Demon Slayer: Kimetsu no Yaiba,(2019– ),24 min,"Animation,Action,Adventure",8.7,TV-MA,"119,199"
620,South Park,(1997– ),22 min,"Animation,Comedy",8.7,TV-14,"388,015"
621,The Simpsons,(1989– ),22 min,"Animation,Comedy",8.7,TV-14,"417,671"
622,Invincible,(2021– ),50 min,"Animation,Action,Adventure",8.7,TV-MA,"152,677"
623,Naruto: Shippuden,(2007–2017),24 min,"Animation,Action,Adventure",8.7,TV-PG,"137,014"
624,Berserk,(1997–1998),23 min,"Animation,Action,Adventure",8.7,TV-MA,"44,100"
625,One Punch Man,(2015–2019),24 min,"Animation,Action,Comedy",8.7,TV-PG,"169,989"
626,Monster,(2004–2005),24 min,"Animation,Crime,Drama",8.7,TV-14,"35,566"
627,Primal,(2019– ),22 min,"Animation,Action,Adventure",8.7,TV-MA,"17,077"
628,Haikyu!!,(2014–2020),24 min,"Animation,Comedy,Drama",8.7,TV-14,"29,080"
629,Justice League Unlimited,(2004–2006),23 min,"Animation,Action,Adventure",8.7,TV-Y7-FV,"17,834"
630,Gintama,(2005–2021),25 min,"Animation,Action,Comedy",8.7,TV-14,"12,833"
631,Code Geass,(2006–2008),24 min,"Animation,Action,Drama",8.7,TV-14,"72,664"
632,Slam Dunk,(1993–1996),22 min,"Animation,Comedy,Drama",8.7,TV-PG,"6,425"
633,Don't Hug Me I'm Scared,(2022– ),23 min,"Animation,Comedy,Horror",8.7,TV-14,"3,892"
634,Fighting Spirit: Rising,(2013–2014),20 min,"Animation,Action,Comedy",8.7,NA,"2,573"
635,The Mysterious Cities of Gold,(1982–1983),28 min,"Animation,Adventure,Comedy",8.7,TV-Y7,"4,104"
636,Archer,(2009– ),22 min,"Animation,Action,Comedy",8.6,TV-MA,"159,129"
637,Adventure Time,(2010–2018),11 min,"Animation,Action,Adventure",8.6,TV-PG,"101,186"
638,Justice League,(2001–2004),22 min,"Animation,Action,Adventure",8.6,TV-PG,"48,494"
639,Young Justice,(2010–2022),23 min,"Animation,Action,Adventure",8.6,TV-PG,"43,093"
640,Mob Psycho 100,(2016–2022),24 min,"Animation,Action,Comedy",8.6,TV-14,"37,701"
641,Dragon Ball,(1986–1989),25 min,"Animation,Action,Adventure",8.6,TV-14,"60,836"
642,Fruits Basket,(2019–2021),24 min,"Animation,Comedy,Drama",8.6,TV-14,"7,407"
643,Your Lie in April,(2014–2018),23 min,"Animation,Comedy,Drama",8.6,TV-PG,"33,057"
644,The Venture Bros.,(2003–2018),22 min,"Animation,Action,Adventure",8.6,TV-14,"26,769"
645,Samurai Champloo,(2004–2005),24 min,"Animation,Action,Adventure",8.6,TV-MA,"51,507"
646,Dragon Ball,(1995–2003),24 min,"Animation,Action,Adventure",8.6,TV-14,"61,931"
647,Hunter x Hunter,(1999–2001),23 min,"Animation,Action,Adventure",8.6,TV-PG,"8,787"
648,Link Click,(2021– ),20 min,"Animation,Crime,Drama",8.6,TV-14,"2,548"
649,Monogatari Series: Second Season,(2013),25 min,"Animation,Adventure,Comedy",8.6,TV-14,"2,734"
650,Legend of the Galactic Heroes,(1988–1997),25 min,"Animation,Action,Drama",9.0,TV-MA,"3,985"
651,One Piece,(1999– ),24 min,"Animation,Action,Adventure",8.9,TV-14,"143,165"
652,Death Note,(2006–2007),23 min,"Animation,Crime,Drama",8.9,TV-14,"342,767"
653,Gravity Falls,(2012–2016),23 min,"Animation,Adventure,Comedy",8.9,TV-Y7,"118,328"
654,Cowboy Bebop,(1998–1999),24 min,"Animation,Action,Adventure",8.9,TV-14,"126,670"
655,Hey Duggee,(2014– ),7 min,"Animation,Comedy,Family",8.9,TV-Y,"1,231"
656,Silver Fang,(1986),25 min,"Animation,Action,Adventure",8.9,NA,"3,003"
657,Hungarian Folk Tales,(1980–2012),NA,Animation,8.9,NA,"1,478"
658,Vinland Saga,(2019– ),24 min,"Animation,Action,Adventure",8.8,TV-MA,"49,895"
659,BoJack Horseman,(2014–2020),25 min,"Animation,Comedy,Drama",8.8,TV-MA,"169,194"
660,【Oshi No Ko】,(2023– ),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"2,808"
661,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"136,804"
662,Steins;Gate,(2011–2015),24 min,"Animation,Comedy,Drama",8.8,TV-14,"66,460"
663,Fighting Spirit,(2000–2002),20 min,"Animation,Action,Comedy",8.8,TV-PG,"7,933"
664,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"82,766"
665,Fighting Spirit: New Challenger,(2009),NA,"Animation,Action,Comedy",8.8,NA,"2,831"
666,Future Boy Conan,(1978),24 min,"Animation,Adventure,Comedy",8.8,TV-PG,"4,589"
667,Mushi-Shi: Next Passage,(2014–2015),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"3,028"
668,Demon Slayer: Kimetsu no Yaiba,(2019– ),24 min,"Animation,Action,Adventure",8.7,TV-MA,"119,199"
669,South Park,(1997– ),22 min,"Animation,Comedy",8.7,TV-14,"388,015"
670,The Simpsons,(1989– ),22 min,"Animation,Comedy",8.7,TV-14,"417,671"
671,Invincible,(2021– ),50 min,"Animation,Action,Adventure",8.7,TV-MA,"152,677"
672,Naruto: Shippuden,(2007–2017),24 min,"Animation,Action,Adventure",8.7,TV-PG,"137,014"
673,Berserk,(1997–1998),23 min,"Animation,Action,Adventure",8.7,TV-MA,"44,100"
674,One Punch Man,(2015–2019),24 min,"Animation,Action,Comedy",8.7,TV-PG,"169,989"
675,Monster,(2004–2005),24 min,"Animation,Crime,Drama",8.7,TV-14,"35,566"
676,Primal,(2019– ),22 min,"Animation,Action,Adventure",8.7,TV-MA,"17,077"
677,Haikyu!!,(2014–2020),24 min,"Animation,Comedy,Drama",8.7,TV-14,"29,080"
678,Justice League Unlimited,(2004–2006),23 min,"Animation,Action,Adventure",8.7,TV-Y7-FV,"17,834"
679,Gintama,(2005–2021),25 min,"Animation,Action,Comedy",8.7,TV-14,"12,833"
680,Code Geass,(2006–2008),24 min,"Animation,Action,Drama",8.7,TV-14,"72,664"
681,Slam Dunk,(1993–1996),22 min,"Animation,Comedy,Drama",8.7,TV-PG,"6,425"
682,Don't Hug Me I'm Scared,(2022– ),23 min,"Animation,Comedy,Horror",8.7,TV-14,"3,892"
683,Fighting Spirit: Rising,(2013–2014),20 min,"Animation,Action,Comedy",8.7,NA,"2,573"
684,The Mysterious Cities of Gold,(1982–1983),28 min,"Animation,Adventure,Comedy",8.7,TV-Y7,"4,104"
685,Archer,(2009– ),22 min,"Animation,Action,Comedy",8.6,TV-MA,"159,129"
686,Adventure Time,(2010–2018),11 min,"Animation,Action,Adventure",8.6,TV-PG,"101,186"
687,Justice League,(2001–2004),22 min,"Animation,Action,Adventure",8.6,TV-PG,"48,494"
688,Young Justice,(2010–2022),23 min,"Animation,Action,Adventure",8.6,TV-PG,"43,093"
689,Mob Psycho 100,(2016–2022),24 min,"Animation,Action,Comedy",8.6,TV-14,"37,701"
690,Dragon Ball,(1986–1989),25 min,"Animation,Action,Adventure",8.6,TV-14,"60,836"
691,Fruits Basket,(2019–2021),24 min,"Animation,Comedy,Drama",8.6,TV-14,"7,407"
692,Your Lie in April,(2014–2018),23 min,"Animation,Comedy,Drama",8.6,TV-PG,"33,057"
693,The Venture Bros.,(2003–2018),22 min,"Animation,Action,Adventure",8.6,TV-14,"26,769"
694,Samurai Champloo,(2004–2005),24 min,"Animation,Action,Adventure",8.6,TV-MA,"51,507"
695,Dragon Ball,(1995–2003),24 min,"Animation,Action,Adventure",8.6,TV-14,"61,931"
696,Hunter x Hunter,(1999–2001),23 min,"Animation,Action,Adventure",8.6,TV-PG,"8,787"
697,Link Click,(2021– ),20 min,"Animation,Crime,Drama",8.6,TV-14,"2,548"
698,Monogatari Series: Second Season,(2013),25 min,"Animation,Adventure,Comedy",8.6,TV-14,"2,734"
699,Clannad: After Story,(2008–2009),24 min,"Animation,Comedy,Drama",8.6,TV-MA,"11,745"
700,One Piece,(1999– ),24 min,"Animation,Action,Adventure",8.9,TV-14,"143,165"
701,Death Note,(2006–2007),23 min,"Animation,Crime,Drama",8.9,TV-14,"342,767"
702,Gravity Falls,(2012–2016),23 min,"Animation,Adventure,Comedy",8.9,TV-Y7,"118,328"
703,Cowboy Bebop,(1998–1999),24 min,"Animation,Action,Adventure",8.9,TV-14,"126,670"
704,Hey Duggee,(2014– ),7 min,"Animation,Comedy,Family",8.9,TV-Y,"1,231"
705,Silver Fang,(1986),25 min,"Animation,Action,Adventure",8.9,NA,"3,003"
706,Hungarian Folk Tales,(1980–2012),NA,Animation,8.9,NA,"1,478"
707,Vinland Saga,(2019– ),24 min,"Animation,Action,Adventure",8.8,TV-MA,"49,895"
708,BoJack Horseman,(2014–2020),25 min,"Animation,Comedy,Drama",8.8,TV-MA,"169,194"
709,【Oshi No Ko】,(2023– ),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"2,808"
710,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"136,804"
711,Steins;Gate,(2011–2015),24 min,"Animation,Comedy,Drama",8.8,TV-14,"66,460"
712,Fighting Spirit,(2000–2002),20 min,"Animation,Action,Comedy",8.8,TV-PG,"7,933"
713,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"82,766"
714,Fighting Spirit: New Challenger,(2009),NA,"Animation,Action,Comedy",8.8,NA,"2,831"
715,Future Boy Conan,(1978),24 min,"Animation,Adventure,Comedy",8.8,TV-PG,"4,589"
716,Mushi-Shi: Next Passage,(2014–2015),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"3,028"
717,Demon Slayer: Kimetsu no Yaiba,(2019– ),24 min,"Animation,Action,Adventure",8.7,TV-MA,"119,199"
718,South Park,(1997– ),22 min,"Animation,Comedy",8.7,TV-14,"388,015"
719,The Simpsons,(1989– ),22 min,"Animation,Comedy",8.7,TV-14,"417,671"
